ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1665813299125,"10/15/2022, 11:15:56",10/15/2022,-51,1599,-1552,-14208,1784,5784,11:15:56,CHL032,0
1665813301133,"10/15/2022, 11:15:56",10/15/2022,-326,-95,-1568,-14588,2376,5916,11:15:56,CHL032,0
1665813303171,"10/15/2022, 11:15:56",10/15/2022,-385,-196,-1600,-14428,2480,5960,11:15:56,CHL032,0
1665813305223,"10/15/2022, 11:15:56",10/15/2022,-756,-34,-1568,-14460,2168,6008,11:15:56,CHL032,0
1665813307301,"10/15/2022, 11:15:56",10/15/2022,-574,-452,-1568,-14288,2168,6256,11:15:56,CHL032,0
1665812755881,"10/15/2022, 11:15:56",10/15/2022,-481,-454,-2816,-12756,6192,-7140,11:15:56,CHL026,0
1665812757922,"10/15/2022, 11:15:56",10/15/2022,-204,-472,-2816,-12784,6404,-6956,11:15:56,CHL026,0
1665812760063,"10/15/2022, 11:15:56",10/15/2022,-310,175,-2800,-12684,6744,-6612,11:15:56,CHL026,0
1665812762200,"10/15/2022, 11:15:56",10/15/2022,-501,-166,-2784,-12976,6608,-6268,11:15:56,CHL026,0
1665812764252,"10/15/2022, 11:15:56",10/15/2022,6097,-20239,-2752,-18748,540,-628,11:15:56,CHL026,0
1665812766399,"10/15/2022, 11:15:56",10/15/2022,-2245,10994,-2752,-12268,9708,-3984,11:15:56,CHL026,0
1665812768480,"10/15/2022, 11:15:56",10/15/2022,3776,8507,-2752,-13212,6456,-2920,11:15:56,CHL026,0
1665812770501,"10/15/2022, 11:15:56",10/15/2022,1082,2841,-2720,-13328,2012,-2508,11:15:56,CHL026,0
1665812772551,"10/15/2022, 11:15:56",10/15/2022,3168,5692,-2752,-15844,5276,-1760,11:15:56,CHL026,0
1665812774601,"10/15/2022, 11:15:56",10/15/2022,4224,5348,-2720,-13996,4712,-2020,11:15:56,CHL026,0
1665812776920,"10/15/2022, 11:15:56",10/15/2022,-3825,1736,-2704,-17944,4984,1320,11:15:56,CHL026,0
1665812778872,"10/15/2022, 11:15:56",10/15/2022,-2261,-1467,-2720,-17492,3800,-5100,11:15:56,CHL026,0
1665812781037,"10/15/2022, 11:15:56",10/15/2022,-519,-285,-2720,-15516,3400,-2196,11:15:56,CHL026,0
1665812783074,"10/15/2022, 11:15:56",10/15/2022,-440,-260,-2672,-15528,3428,-1936,11:15:56,CHL026,0
1665812785221,"10/15/2022, 11:15:56",10/15/2022,-298,-81,-2672,-15356,3056,-1836,11:15:56,CHL026,0
1665812787290,"10/15/2022, 11:15:56",10/15/2022,-387,-390,-2688,-15512,3448,-1888,11:15:56,CHL026,0
1665812789492,"10/15/2022, 11:15:56",10/15/2022,-556,-268,-2656,-15448,3212,-1904,11:15:56,CHL026,0
1665812791890,"10/15/2022, 11:15:56",10/15/2022,-498,-69,-2640,-15380,3260,-2000,11:15:56,CHL026,0
1665812793762,"10/15/2022, 11:15:56",10/15/2022,1171,973,-2656,-14692,6068,-2472,11:15:56,CHL026,0
1665812795820,"10/15/2022, 11:15:56",10/15/2022,-616,13427,-2656,-13172,8848,-1572,11:15:56,CHL026,0
1665812797992,"10/15/2022, 11:15:56",10/15/2022,1456,1064,-2624,-11900,8268,-3204,11:15:56,CHL026,0
1665812800140,"10/15/2022, 11:15:56",10/15/2022,-7805,5383,-2624,-12288,7900,-4168,11:15:56,CHL026,0
1665812802492,"10/15/2022, 11:15:56",10/15/2022,7896,-1406,-2608,-7200,13364,-1280,11:15:56,CHL026,0
1665812804408,"10/15/2022, 11:15:56",10/15/2022,-7450,-8827,-2608,-14192,6640,-1752,11:15:56,CHL026,0
1665812806631,"10/15/2022, 11:15:56",10/15/2022,-5237,10981,-2592,-11368,8012,-148,11:15:56,CHL026,0
1665812808751,"10/15/2022, 11:15:56",10/15/2022,-4879,-6003,-2592,-12000,7264,-3216,11:15:56,CHL026,0
1665812810742,"10/15/2022, 11:15:56",10/15/2022,1845,-715,-2624,-12512,9336,-2452,11:15:56,CHL026,0
1665812812781,"10/15/2022, 11:15:56",10/15/2022,-9860,4583,-2560,-10752,7772,-8008,11:15:56,CHL026,0
1665812815001,"10/15/2022, 11:15:56",10/15/2022,-436,-4620,-2576,-13820,8632,-2516,11:15:56,CHL026,0
1665812817112,"10/15/2022, 11:15:56",10/15/2022,-1053,3185,-2576,-12140,8664,2756,11:15:56,CHL026,0
1665812819150,"10/15/2022, 11:15:56",10/15/2022,-2576,-9938,-2592,-12684,8604,-2656,11:15:56,CHL026,0
1665812821262,"10/15/2022, 11:15:56",10/15/2022,-2887,7509,-2544,-8740,6896,1332,11:15:56,CHL026,0
1665812823231,"10/15/2022, 11:15:56",10/15/2022,-5789,2241,-2544,-13340,11160,-636,11:15:56,CHL026,0
1665812825473,"10/15/2022, 11:15:56",10/15/2022,-1118,-2256,-2560,-8944,11860,-1048,11:15:56,CHL026,0
1665812827429,"10/15/2022, 11:15:56",10/15/2022,-10389,-9605,-2544,-11608,7032,-5248,11:15:56,CHL026,0
1665812829471,"10/15/2022, 11:15:56",10/15/2022,-2282,-10938,-2480,-11336,9540,-3952,11:15:56,CHL026,0
1665812831738,"10/15/2022, 11:15:56",10/15/2022,2479,-6499,-2496,-12248,10080,-1416,11:15:56,CHL026,0
1665812833943,"10/15/2022, 11:15:56",10/15/2022,-4480,14731,-2496,-8660,10156,-1432,11:15:56,CHL026,0
1665812835891,"10/15/2022, 11:15:56",10/15/2022,-2688,-9434,-2512,-11084,8804,-724,11:15:56,CHL026,0
1665812837873,"10/15/2022, 11:15:56",10/15/2022,2491,-1957,-2496,-14128,7836,-1648,11:15:56,CHL026,0
1665812840043,"10/15/2022, 11:15:56",10/15/2022,-7195,688,-2464,-12648,9588,-2464,11:15:56,CHL026,0
1665812842252,"10/15/2022, 11:15:56",10/15/2022,-10298,-319,-2496,-13412,6808,-5844,11:15:56,CHL026,0
1665812844221,"10/15/2022, 11:15:56",10/15/2022,5929,1375,-2464,-13908,9752,-2352,11:15:56,CHL026,0
1665812846261,"10/15/2022, 11:15:56",10/15/2022,-1233,2646,-2464,-17668,25524,-2168,11:15:56,CHL026,0
1665812848412,"10/15/2022, 11:15:56",10/15/2022,576,-2743,-2448,-9840,11232,-2120,11:15:56,CHL026,0
1665812850602,"10/15/2022, 11:15:56",10/15/2022,-633,11829,-2464,-13340,6208,-2436,11:15:56,CHL026,0
1665812852612,"10/15/2022, 11:15:56",10/15/2022,-677,-570,-2448,-14844,4552,-2244,11:15:56,CHL026,0
1665812854661,"10/15/2022, 11:15:56",10/15/2022,-673,64,-2464,-15532,4120,-1804,11:15:56,CHL026,0
1665812856701,"10/15/2022, 11:15:56",10/15/2022,-571,2,-2400,-15360,4040,-1848,11:15:56,CHL026,0
1665812858791,"10/15/2022, 11:15:56",10/15/2022,-491,-233,-2400,-15160,3916,-1928,11:15:56,CHL026,0
1665812860801,"10/15/2022, 11:15:56",10/15/2022,-458,-362,-2384,-15256,3744,-1840,11:15:56,CHL026,0
