acx,acy,acz,gyx,gyY,gyz,cluster
-14444,-2784,6548,-1312,-29,-1815,0
-14564,-2716,6516,-1344,-16,-1797,0
-14452,-2640,6612,-1296,-22,-1837,0
-14488,-2700,6664,-1312,-33,-1803,0
-14496,-2716,6544,-1296,-48,-1788,0
-14416,-2664,6712,-1312,-55,-1826,0
-14556,-2576,6616,-1280,-8,-1809,0
-14544,-2668,6668,-1296,-10,-1823,0
-14508,-2656,6612,-1264,-32,-1853,0
-15052,-2912,7112,-1248,-1776,-2558,0
-14220,-2632,7204,-1280,-22,-1787,0
-14264,-2644,7096,-1264,-2,-1856,0
-14332,-2640,7188,-1248,-30,-1761,0
-14272,-2620,7252,-1216,-8,-1799,0
-14260,-2560,7124,-1216,7,-1802,0
-14204,-2524,7228,-1216,-39,-1777,0
-14276,-2576,7304,-1200,-31,-1790,0
-14184,-2636,7288,-1216,2,-1814,0
-14196,-2544,7276,-1216,-35,-1844,0
-14160,-2572,7192,-1184,-14,-1850,0
-14156,-2544,7184,-1200,-38,-1792,0
-14180,-2440,7212,-1200,-11,-1785,0
-14192,-2736,7232,-1216,-4,-1872,0
-14292,-2524,7248,-1168,-12,-1805,0
-14168,-2524,7192,-1216,-21,-1837,0
-14164,-2556,7172,-1184,-3,-1781,0
-14180,-2536,7204,-1136,-30,-1853,0
-14216,-2556,7368,-1104,-1,-1835,0
-14156,-2464,7244,-1104,-39,-1844,0
-14128,-2512,7144,-1104,-17,-1829,0
-14136,-2408,7132,-1088,-4,-1806,0
-14212,-2472,7456,-1072,-26,-1811,0
-14200,-2432,7252,-1104,-13,-1836,0
-14284,-2416,7188,-1104,-5,-1832,0
-14140,-2448,7240,-1056,-53,-1823,0
-14192,-2444,7200,-1088,-32,-1831,0
-14080,-2492,7376,-1088,-20,-1850,0
-14120,-2540,7240,-1024,-25,-1804,0
-14312,-2408,7360,-1040,-23,-1764,0
-14012,-2480,7336,-1040,-63,-1868,0
-14188,-2476,7256,-1024,-17,-1835,0
-14192,-2412,7216,-1008,-46,-1814,0
-14112,-2352,7172,-976,-2,-1792,0
